,word,bz_bio,re_bio
0,样,O,O
1,我,O,O
2,看,O,O
3,看,O,O
4,时,O,O
5,间,O,O
6,，,O,O
7,，,O,O
8,然,O,O
9,后,O,O
10,电,O,O
11,话,O,O
12,或,O,O
13,者,O,O
14,微,O,O
15,信,O,O
16,联,O,O
17,系,O,O
18,这,O,O
19,样,O,O
20,吧,O,O
21,，,O,O
22,你,O,O
23,平,O,O
24,时,O,O
25,使,O,O
26,用,O,O
27,Q,O,O
28,Q,O,O
29,或,O,O
30,者,O,O
31,微,O,O
32,信,O,O
33,呢,O,O
34,，,O,O
35,我,O,O
36,添,O,O
37,加,O,O
38,您,O,O
39,，,O,O
40,您,O,O
41,过,O,O
42,来,O,O
43,的,O,O
44,时,O,O
45,候,O,O
46,，,O,O
47,再,O,O
48,微,O,O
49,信,O,O
50,上,O,O
51,跟,O,O
52,我,O,O
53,说,O,O
54,，,O,O
55,我,O,O
56,再,O,O
57,帮,O,O
58,你,O,O
59,安,O,O
60,排,O,O
61,，,O,O
62,您,O,O
63,看,O,O
64,可,O,O
65,以,O,O
66,吧,O,O
67,不,O,O
68,用,O,O
69,了,O,O
70,！,O,O
71,！,O,O
72,谢,O,O
73,谢,O,O
74,！,O,O
75,！,O,O
76,我,O,O
77,来,O,O
78,的,O,O
79,时,O,O
80,候,O,O
81,再,O,O
82,预,O,O
83,约,O,O
84,！,O,O
85,或,O,O
86,发,B_symptom,O
87,炎,I_symptom,O
88,阴,B_part,B_part
89,茎,I_part,I_part
90,包,B_part,B_part
91,皮,I_part,I_part
92,是,O,O
93,否,O,O
94,有,O,O
95,硬,B_symptom,B_symptom
96,触,I_symptom,I_symptom
97,感,I_symptom,I_symptom
98,.,O,O
99,称,O,O
100,硬,B_symptom,B_sickness
101,下,I_symptom,I_sickness
102,疳,I_symptom,I_sickness
103,.,O,O
104,有,O,O
105,的,O,O
106,出,O,O
107,现,O,O
108,火,B_symptom,B_symptom
109,山,I_symptom,I_symptom
110,口,I_symptom,I_symptom
111,状,I_symptom,I_symptom
112,溃,I_symptom,I_symptom
113,疡,I_symptom,I_symptom
114,面,I_symptom,I_symptom
115,.,O,O
116,也,O,O
117,是,O,O
118,我,O,O
119,的,O,O
120,微,O,O
121,信,O,O
122,你,O,O
123,可,O,O
124,以,O,O
125,记,O,O
126,下,O,O
127,。,O,O
128,避,O,O
129,免,O,O
130,出,O,O
131,现,O,O
132,交,O,O
133,叉,O,O
134,传,O,O
135,染,O,O
136,。,O,O
137,附,O,O
138,近,O,O
139,没,O,O
140,地,O,O
141,铁,O,O
142,我,O,O
143,为,O,O
144,什,O,O
145,么,O,O
146,会,O,O
147,不,O,O
148,舒,O,O
149,服,O,O
150,啊,O,O
151,根,O,O
152,据,O,O
153,以,O,O
154,上,O,O
155,描,O,O
156,述,O,O
157,结,O,O
158,合,O,O
159,咱,O,O
160,们,O,O
161,临,O,O
162,床,O,O
163,经,O,O
164,验,O,O
165,来,O,O
166,看,O,O
167,，,O,O
168,目,O,O
169,前,O,O
170,不,O,O
171,排,O,O
172,除,O,O
173,是,O,O
174,有,O,O
175,盆,B_symptom,B_sickness
176,腔,I_symptom,I_sickness
177,炎,I_symptom,I_sickness
178,宫,B_symptom,B_sickness
179,颈,I_symptom,I_sickness
180,炎,I_symptom,I_sickness
181,怎,O,O
182,样,O,O
183,能,O,O
184,使,O,O
185,阴,B_part,B_symptom
186,径,I_part,I_symptom
187,曾,O,I_symptom
188,大,O,I_symptom
189,，,O,O
190,平,O,O
191,时,O,O
192,单,O,O
193,项,O,O
194,的,O,O
195,激,O,O
196,素,O,O
197,检,O,O
198,查,O,O
199,都,O,O
200,是,O,O
201,2,B_price,B_price
202,4,I_price,I_price
203,0,I_price,I_price
204,元,I_price,I_price
205,现,O,O
206,在,O,O
207,有,O,O
208,这,O,O
209,个,O,O
210,检,O,O
211,查,O,O
212,优,O,O
213,惠,O,O
214,肯,O,O
215,定,O,O
216,是,O,O
217,比,O,O
218,较,O,O
219,实,O,O
220,惠,O,O
221,的,O,O
222,那,O,O
223,这,O,O
224,样,O,O
225,吧,O,O
226,，,O,O
227,我,O,O
228,这,O,O
229,边,O,O
230,给,O,O
231,你,O,O
232,申,O,O
233,请,O,O
234,专,O,O
235,家,O,O
236,号,O,O
237,，,O,O
238,申,O,O
239,请,O,O
240,预,O,O
241,约,O,O
242,后,O,O
243,检,O,O
244,查,O,O
245,费,O,O
246,用,O,O
247,只,O,O
248,要,O,O
249,6,B_price,B_price
250,1,I_price,I_price
251,元,I_price,I_price
252,，,O,O
253,手,O,O
254,术,O,O
255,费,O,O
256,用,O,O
257,跟,O,O
258,具,O,O
259,你,O,O
260,的,O,O
261,检,O,O
262,查,O,O
263,结,O,O
264,果,O,O
265,，,O,O
266,一,O,O
267,般,O,O
268,像,O,O
269,你,O,O
270,这,O,O
271,样,O,O
272,的,O,O
273,一,B_price,B_price
274,二,I_price,I_price
275,百,I_price,I_price
276,元,I_price,I_price
277,左,O,O
278,右,O,O
279,的,O,O
280,。,O,O
281,我,O,O
282,现,O,O
283,在,O,O
284,还,O,O
285,在,O,O
286,外,O,O
287,面,O,O
288,这,O,O
289,样,O,O
290,你,O,O
291,先,O,O
292,给,O,O
293,我,O,O
294,保,O,O
295,密,O,O
296,我,O,O
297,有,O,O
298,时,O,O
299,间,O,O
300,再,O,O
301,过,O,O
302,来,O,O
303,怎,O,O
304,么,O,O
305,回,O,O
306,事,O,O
307,，,O,O
308,以,O,O
309,前,O,O
310,没,O,O
311,有,O,O
312,！,O,O
313,戒,O,O
314,掉,O,O
315,手,B_cause,B_cause
316,淫,I_cause,I_cause
317,能,O,O
318,治,O,O
319,疗,O,O
320,早,B_symptom,B_sickness
321,泄,I_symptom,I_sickness
322,吗,O,O
323,多,O,O
324,少,O,O
325,钱,O,O
326,检,O,O
327,查,O,O
328,身,O,O
329,体,O,O
330,我,O,O
331,给,O,O
332,您,O,O
333,去,O,O
334,个,O,O
335,电,O,O
336,话,O,O
337,吧,O,O
338,微,O,O
339,信,O,O
340,1,O,O
341,7,O,O
342,9,O,O
343,1,O,O
344,3,O,O
345,8,O,O
346,7,O,O
347,8,O,O
348,1,O,O
349,8,O,O
350,加,O,O
351,你,O,O
352,了,O,O
353,看,O,O
354,的,O,O
355,了,O,O
356,吗,O,O
357,做,O,O
358,手,O,O
359,术,O,O
360,大,O,O
361,概,O,O
362,需,O,O
363,要,O,O
364,多,O,O
365,少,O,O
366,钱,O,O
367,？,O,O
368,这,O,O
369,样,O,O
370,吧,O,O
371,，,O,O
372,你,O,O
373,平,O,O
374,时,O,O
375,使,O,O
376,用,O,O
377,Q,O,O
378,Q,O,O
379,还,O,O
380,是,O,O
381,微,O,O
382,信,O,O
383,呢,O,O
384,，,O,O
385,我,O,O
386,添,O,O
387,加,O,O
388,你,O,O
389,，,O,O
390,详,O,O
391,细,O,O
392,的,O,O
393,给,O,O
394,你,O,O
395,说,O,O
